	SRR5650119	SRR3131760	SRR3131720	SRR5650133	SRR3131748	SRR3131740	SRR5650117	SRR5650120	SRR5650148	SRR5650158	SRR5650110	SRR3131708	SRR3131736	SRR5650153	SRR3131722	SRR5650150	SRR5650136	SRR5650143	SRR3131752	SRR5650127	SRR5650144	SRR3131750	SRR5650130	SRR5650111	SRR3131696	SRR3131762	SRR3131786	SRR5650132	SRR5650135	SRR3131756	SRR5650126	SRR3131712	SRR5650137	SRR3131702	SRR5650113	SRR3131744	SRR3131770	SRR5650121	SRR3131732	SRR3131768	SRR3131788	SRR3131694	SRR5650116	SRR3131728	SRR5650142	SRR3131698	SRR5650157	SRR3131772	SRR3131782	SRR5650118	SRR5650151	SRR5650141	SRR5650146	SRR5650128	SRR5650139	SRR5650123	SRR5650145	SRR3131730	SRR5650155	SRR5650129	SRR3131754	SRR3131700	SRR3131742	SRR3131812	SRR3131758	SRR3131714	SRR3131764	SRR5650147	SRR5650138	SRR5650112	SRR3131776	SRR5650115	SRR5650114	SRR3131774	SRR3131716	SRR3131790	SRR5650131	SRR5650152	SRR5650122	SRR3131780	SRR3131706	SRR5650154	SRR5650125	SRR3131718	SRR5650124	SRR3131710	SRR5650159	SRR3131738	SRR3131692	SRR3131704	SRR3131724	SRR3131766	SRR5650134	SRR3131726	SRR3131734	SRR3131778	SRR3131784	SRR5650156	SRR3131746	SRR5650140	SRR5650149
adult_c_000000000074_1	0	0	0	74	0	0	2	0	40	0	96	0	0	36	0	42	78	140	0	102	60	0	28	16	0	0	0	48	6	0	18	0	28	0	24	0	0	0	0	0	0	0	0	0	118	0	0	0	0	0	96	230	124	68	142	0	136	0	90	80	0	0	0	0	0	0	0	190	130	0	0	0	12	0	0	0	8	178	8	0	0	4	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	244	0	302	160
adult_c_000000000074_2	2	0	0	16	0	0	2	0	36	12	6	0	0	98	0	46	108	896	0	6	522	0	12	0	0	0	0	24	20	0	30	0	114	0	12	0	0	4	0	0	0	0	0	0	1316	0	0	0	0	2	98	2464	1108	44	1826	0	1516	0	96	8	0	0	0	0	0	0	0	336	280	0	0	0	2	0	0	0	0	58	0	0	0	18	76	0	2	0	2	0	0	0	0	0	84	0	0	0	0	204	0	3270	78
adult_c_000000000253_1	10	0	0	2744	0	0	2476	10	16	14	124	0	14	10	0	2854	22	3018	0	720	2178	0	984	10	0	0	0	3760	12	0	0	0	70	0	1320	0	0	0	0	0	0	4	196	0	4016	0	4	0	0	8	12	7020	3498	36	1184	2	2228	0	352	3174	0	0	0	0	0	0	0	1456	60	230	0	40	20	0	0	0	394	8	428	0	0	4	4	0	6	0	8	0	0	0	0	0	468	0	0	0	0	1026	0	1226	992
adult_c_000000000329_1	4	0	0	1164	0	0	14	0	148	230	842	0	0	100	0	744	418	1278	0	10	998	0	30	794	0	0	0	8030	88	0	0	0	124	0	808	0	0	0	0	0	0	0	18	2	3784	0	154	0	0	4	174	24652	4542	424	1736	2	2220	0	126	58	0	0	0	0	0	0	0	434	268	216	0	2	162	0	0	0	0	210	12	0	0	104	2	0	12	0	288	0	0	0	0	0	408	0	0	0	0	406	0	2982	236
adult_c_000000000515_1	8	0	0	4	0	0	10	2	6	0	2	0	0	0	0	10	4	6	0	10	654	0	170	0	0	0	0	4	4	0	4	0	10	0	0	0	0	2	0	0	0	0	6	0	432	0	0	0	0	6	4	2500	548	24	2786	4	100	0	4	18	0	0	0	0	0	0	0	8	4	0	0	0	0	0	0	0	72	2	26	0	0	4	10	0	2	0	0	0	0	0	0	0	0	0	0	0	0	10	0	2250	2
adult_c_000000000801_1	6	0	0	11330	0	0	1742	6	718	6434	1580	0	0	302	0	2116	936	1072	0	510	1732	0	804	1374	0	0	0	21772	558	0	0	0	258	0	2960	0	0	10	0	0	158	0	396	0	6028	0	1000	0	0	2	688	55054	7604	2000	3010	6	3404	0	50	2328	0	0	0	0	0	0	0	408	616	1270	0	402	294	0	0	0	220	1330	496	0	0	404	8	0	10	72	3162	0	0	0	0	0	1656	0	0	0	0	142	0	4334	456
adult_c_000000358633_1	1216	0	0	228	0	0	16	914	272	0	90	0	0	154	0	102	204	40	0	30	36	0	26	2	0	0	0	252	88	0	2	0	4	0	172	0	0	390	0	0	0	0	4	0	64	0	8	0	0	100	224	58	12	136	64	1850	24	0	78	86	0	0	0	0	0	0	0	114	22	26	0	238	20	0	0	0	0	270	224	0	0	52	3630	0	72	0	6	0	0	0	0	0	34	0	0	0	0	214	0	108	60
adult_c_000000359312_1	456	0	0	0	8	0	0	316	2	0	0	0	0	0	0	0	2	0	0	0	0	0	4	0	12	0	0	0	0	0	0	0	0	0	0	0	0	90	8	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	644	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	126	0	0	0	0	0	0	0	0	0	0	1112	0	16	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
adult_c_000000520680_1	0	0	0	8	0	0	4	0	442	0	12	0	0	942	0	10	698	760	0	8	20	0	24	2	0	0	0	2	156	0	12	0	56	0	6	0	0	2	0	0	0	0	0	0	22	0	0	0	0	2	820	162	40	396	70	0	44	0	60	4	0	0	0	0	0	0	0	108	118	2	0	0	4	0	0	0	0	454	0	0	0	112	20	0	0	0	6	0	0	0	0	0	118	0	0	0	0	94	0	158	42
adult_c_000001082145_1	310	0	0	1362	0	0	56	270	324	18	596	0	0	160	0	114	166	374	0	22	100	0	22	46	0	0	0	1670	46	0	22	0	56	0	738	0	0	120	0	0	0	0	2	0	146	0	8	0	0	156	236	154	44	146	142	600	104	0	56	166	0	0	0	0	0	0	0	232	48	88	0	4010	192	0	0	0	8	224	224	0	0	80	1842	0	60	0	20	0	0	0	0	0	270	0	0	0	0	226	0	250	52
