Cohort	Cluster	Count
EA	blue	75
EA	green	32
EA	grey	16
EA	orange	12
EA	purple	33
NAG	blue	47
NAG	green	19
NAG	grey	5
NAG	orange	9
NAG	purple	20
NAI	blue	11
NAI	green	6
NAI	grey	6
NAI	orange	2
NAI	purple	11
NAPT	blue	44
NAPT	green	20
NAPT	grey	12
NAPT	orange	7
NAPT	purple	18
SA	blue	16
SA	green	8
SA	grey	1
SA	orange	2
SA	purple	6
WA	blue	11
WA	green	5
WA	grey	3
WA	orange	3
WA	purple	5
WEG	blue	33
WEG	green	15
WEG	grey	9
WEG	orange	7
WEG	purple	36
WEI	blue	84
WEI	green	35
WEI	grey	24
WEI	orange	18
WEI	purple	59
