contig	SORTED_PAIRED_SRR3131692	SORTED_PAIRED_SRR3131694	SORTED_PAIRED_SRR3131696	SORTED_PAIRED_SRR3131698	SORTED_PAIRED_SRR3131700	SORTED_PAIRED_SRR3131702	SORTED_PAIRED_SRR3131704	SORTED_PAIRED_SRR3131706	SORTED_PAIRED_SRR3131708	SORTED_PAIRED_SRR3131710	SORTED_PAIRED_SRR3131712	SORTED_PAIRED_SRR3131714	SORTED_PAIRED_SRR3131716	SORTED_PAIRED_SRR3131718	SORTED_PAIRED_SRR3131720	SORTED_PAIRED_SRR3131722	SORTED_PAIRED_SRR3131724	SORTED_PAIRED_SRR3131726	SORTED_PAIRED_SRR3131728	SORTED_PAIRED_SRR3131730	SORTED_PAIRED_SRR3131732	SORTED_PAIRED_SRR3131734	SORTED_PAIRED_SRR3131736	SORTED_PAIRED_SRR3131738	SORTED_PAIRED_SRR3131740	SORTED_PAIRED_SRR3131742	SORTED_PAIRED_SRR3131744	SORTED_PAIRED_SRR3131746	SORTED_PAIRED_SRR3131748	SORTED_PAIRED_SRR3131750	SORTED_PAIRED_SRR3131752	SORTED_PAIRED_SRR3131754	SORTED_PAIRED_SRR3131756	SORTED_PAIRED_SRR3131758	SORTED_PAIRED_SRR3131760	SORTED_PAIRED_SRR3131762	SORTED_PAIRED_SRR3131764	SORTED_PAIRED_SRR3131766	SORTED_PAIRED_SRR3131768	SORTED_PAIRED_SRR3131770	SORTED_PAIRED_SRR3131772	SORTED_PAIRED_SRR3131774	SORTED_PAIRED_SRR3131776	SORTED_PAIRED_SRR3131778	SORTED_PAIRED_SRR3131780	SORTED_PAIRED_SRR3131782	SORTED_PAIRED_SRR3131784	SORTED_PAIRED_SRR3131786	SORTED_PAIRED_SRR3131788	SORTED_PAIRED_SRR3131790	SORTED_PAIRED_SRR3131812	SORTED_PAIRED_SRR5650110	SORTED_PAIRED_SRR5650111	SORTED_PAIRED_SRR5650112	SORTED_PAIRED_SRR5650113	SORTED_PAIRED_SRR5650114	SORTED_PAIRED_SRR5650115	SORTED_PAIRED_SRR5650116	SORTED_PAIRED_SRR5650117	SORTED_PAIRED_SRR5650118	SORTED_PAIRED_SRR5650119	SORTED_PAIRED_SRR5650120	SORTED_PAIRED_SRR5650121	SORTED_PAIRED_SRR5650122	SORTED_PAIRED_SRR5650123	SORTED_PAIRED_SRR5650124	SORTED_PAIRED_SRR5650125	SORTED_PAIRED_SRR5650126	SORTED_PAIRED_SRR5650127	SORTED_PAIRED_SRR5650128	SORTED_PAIRED_SRR5650129	SORTED_PAIRED_SRR5650130	SORTED_PAIRED_SRR5650131	SORTED_PAIRED_SRR5650132	SORTED_PAIRED_SRR5650133	SORTED_PAIRED_SRR5650134	SORTED_PAIRED_SRR5650135	SORTED_PAIRED_SRR5650136	SORTED_PAIRED_SRR5650137	SORTED_PAIRED_SRR5650138	SORTED_PAIRED_SRR5650139	SORTED_PAIRED_SRR5650140	SORTED_PAIRED_SRR5650141	SORTED_PAIRED_SRR5650142	SORTED_PAIRED_SRR5650143	SORTED_PAIRED_SRR5650144	SORTED_PAIRED_SRR5650145	SORTED_PAIRED_SRR5650146	SORTED_PAIRED_SRR5650147	SORTED_PAIRED_SRR5650148	SORTED_PAIRED_SRR5650149	SORTED_PAIRED_SRR5650150	SORTED_PAIRED_SRR5650151	SORTED_PAIRED_SRR5650152	SORTED_PAIRED_SRR5650153	SORTED_PAIRED_SRR5650154	SORTED_PAIRED_SRR5650155	SORTED_PAIRED_SRR5650156	SORTED_PAIRED_SRR5650157	SORTED_PAIRED_SRR5650158	SORTED_PAIRED_SRR5650159
adult_c_000000000074_2_split_00001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03910686628807434	0	0	0.0754388229220444	0.01303562209602478	0	0	0.0009679917398038204	0.0005807950438822922	0.0008389261744966443	0	0.0015487867836861124	0	0	0.012971089313371192	0.473218895198761	0.18559628291171915	0.03859060402684564	0.24367578729994838	0.01568146618482189	0.052594217862674236	0	0.13087248322147652	0.09034589571502323	0.5390423335054207	0.1277749096541043	0.6786912751677853	0.710376871450697	1.7465152297367061	11.689597315436242	20.470637583892618	15.643133711925659	8.311951471347445	5.607834279814146	3.279104284976768	9.716249354672174	7.061822405782137	2.103381517811048	0.21502323180175528	0.5020005162622613	0.2969153329891585	0.6192565823438306	0.3600929272070212	0.6217733608673206	0.11706246773360868	0.5889907072792979	1.2880098089829632	0	0.07795560144553433	0.01303562209602478
adult_c_000000000253_1_split_00001	0	0.020181204476816487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07034997335228282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.40433469532776695	0.03588559246757861	0.8062888612542192	4.59751287972997	0.07106057914372002	0.13814176585539173	0.6863386036596199	8.526310179427963	0.0018475750577367205	0.002522650559602061	0.002949014034464381	0	1.4972464025581809	0.0003553028957186001	0.0020252265055960205	0.0008171966601527803	0	2.5014389767276604	0.05070172321904424	10.95281577544857	3.425901581097886	1.3468822170900694	13.117534197903712	9.529650026647717	1.6635281577544856	0.013110676852016345	0.0562444483922544	0.23997157576834252	0.19339136613963404	4.1891987919701545	4.209308935867828	24.611724995558713	14.102682536862675	10.52321904423521	7.626825368626754	7.856244448392254	12.374880085272695	5.09799253863919	0.04249422632794457	3.4823592112275716	10.012257949902292	0.03620536507372535	0.021673476638834607	0.03531710783442885	0.007816663705809202	1.2229170367738498	3.5029312488896784	0.014318706697459584	0.04881861787173566	0.026647717178895008
adult_c_000000000329_1_split_00001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01956461835216313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.670639294571507	5.448332874069992	1.4551529346927528	5.468586387434555	1.1254477817580602	0.0006888950124001103	0.12338109672085974	0.09424083769633508	0.014742353265362359	0.0015844585285202536	0	0	0.0819096169743731	0.0009644530173601543	0.07777624689997245	0.0013089005235602095	0	0.06702948470653072	2.830600716450813	0.35967208597409756	0.15403692477266465	0	54.422499311104986	7.854436483879857	2.818200606227611	0.575227335354092	2.788647010195646	0.8228162028106917	1.7743179939377238	11.852232019840176	19.958666299255995	166.8917057040507	25.7420777073574	8.531482502066686	6.75220446403968	15.217346376412236	31.1179388261229	2.9100992008817856	0.9588729677597134	1.619936621658859	5.077087351887572	1.1846927528244695	1.4277349131992285	0.6722237531000276	0.6721548635987875	0.8418297051529346	2.6710526315789473	1.0228024249104437	1.543744833287407	1.9238771011297877
adult_c_000000000515_1_split_00001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0009334344553993349	0	0	0	0	0	0.023977597573070417	0.005425587772008634	0.0024502654454232544	0.004492153316609299	0.0006417361880870427	0.001341812029636544	0.13995682865643777	0.0020418878711860452	0.000816755148474418	0.005250568811621259	0.0019252085642611284	0.03377865935476343	0.02117729420687241	0.018435330494136863	0.9574120529724054	0.3786826906248177	0.012951403068665773	0.0021002275246485035	0	0.0014001516830990024	0.0023919257919607956	0.005250568811621259	0.001633510296948836	16.200688407910857	12.791902456099411	14.351613091418237	2.47033428621434	0.01341812029636544	3.702759465608774	0.5744122279913657	3.1639344262295084	0.004025436088909632	0.0030336619800478385	0.011784609999416603	0.036870660988273726	0.012776384108278397	0.0007000758415495012	0	0.001750189603873753	0.0009334344553993349	0.003500379207747506	0	0	0
adult_c_000000000801_1_split_00001	0	0	0	0	0	0	0	0	0	0.7428636329219354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.6475353978950555	0	0	11.540773832058756	10.225107897327176	9.325433482244264	21.461119103505716	2.226470810933596	2.8681759672900733	2.980010600439161	12.69909896267131	0.0010600439161050957	0.021049443476944044	0.0031801317483152874	0.05845385023093814	3.650639812220792	0.029984099341258424	0.0682213977436208	0.03051412129931097	0	3.7941243280078747	14.689331415158629	17.093738169152722	5.893919890966911	1.5880215037480123	160.10835163171046	83.21541606723707	12.41046414780041	4.161050957825395	6.958355417581585	1.9185280533050655	4.486030135534186	22.522525933217235	31.88975543272507	408.68160823805556	44.84114484742939	7.773680623911562	12.738093435299463	25.526766108881652	57.10055273718483	3.0134777012190503	5.285681835390323	3.397062164003937	15.735746195199516	5.180283183160445	9.995456954645263	2.2346482925721207	2.9691830090103735	0.3553418641629439	1.0032558491708943	7.14227303702582	46.76928901340198	22.96577572499432
adult_c_000000358633_1_split_00001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9300186065743229	0.020880711184618567	0.27113913582799254	1.7132520157122184	0.20487905726690098	2.3840190200537523	0.04165805251188753	0.1651850320446558	0.9895596444076907	12.22307215216043	9.16642547033285	3.964854248501137	2.280442422989456	18.573082489146167	0.7373371924746743	36.721831713872234	0.020880711184618567	0.30814554475914824	1.2113913582799256	0.8483564192681414	0.2669009716766591	0	2.591275584039694	2.3249948315071327	0.3515608848459789	0.8830886913376059	2.066466818275791	0.04176142236923713	0.22286541244573083	0.6631176348976638	1.0696712838536282	0.5241885466198056	0.6262145958238577	0.41606367583212733	0.3582799255737027	0.24881124664047963	0.12569774653710977	1.177899524498656	2.6970229481083314	0.6075046516435807	1.01798635517883	2.294190614016953	2.76152573909448	1.5564399421128798	0.5077527393012198	0.7725863138308869	2.173144511060575	0.08310936530907587	0	0.0560264626834815
adult_c_000000359312_1_split_00001	0	0	0.3400639744102359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.22590963614554177	0	0	0	0	0	0	0	0.2257097161135546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.456417433026789	0	0	0.0027988804478208716	8.91983206717313	6.224510195921631	1.779888044782087	0	12.602359056377448	0.3220711715313874	21.64654138344662	0	0	0	0.004398240703718513	0.004798080767692923	0	0	0	0	0	0.0029988004798080768	0	0	0	0	0	0	0	0	0	0	0	0.0027988804478208716	0	0	0	0	0	0	0	0.001799280287884846	0	0	0
adult_c_000000520680_1_split_00001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09155477719400662	0.019750924304339366	0.016832068495816307	0.057209573847051956	0.03930725822144386	0	0	0.0027242654212881884	0.0013621327106440942	0	0	0.001264837517026659	0	0	0	0.17085035999221637	0.1151975092430434	0.0777388597003308	3.74469741194785	0.002529675034053318	0.22913018096906013	0	0.01965362911072193	0.07589025102159953	1.1115975870791983	1.4886164623467601	6.654212881883635	0.5335668417980152	1.093014205098268	0.6749367581241487	1.4136018680677174	1.513426736719206	0.2050982681455536	7.1461373808133875	0.19390932087954854	0.41438022961665694	0.38061879743140686	1.0142050982681456	4.205876629694493	0.3839268340143997	0.08960887332165791	7.89832652266978	4.349581630667445	8.983848997859505	1.0482584160342479	0.5749172990854252	0.8479276123759486	0	0	0.05896088733216579
adult_c_000001082145_1_split_00001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.866890551060907	0.709204701572279	1.3185773164402381	10.951457792703405	2.9045947183636085	59.852236299801554	0.03068233857426347	0.8227751488322393	2.2736986719584795	4.651350938787972	4.04564188673485	1.735460235078614	3.2845367119523736	8.95191573805526	0.856968401770722	27.512593497176002	0.3298733017859869	0.32804152037856815	2.0415203785681575	2.3788734544344377	0.3179667226377652	0.12135551824148985	25.070981529537477	20.165776217371395	4.104258891772249	0.6626469241337201	2.5116776064722943	0.8432300412150817	0.6536406655472446	2.1668447565257214	3.7327125629674858	2.33048389558846	2.176003663562815	5.527858342237827	1.4584032972065333	1.5936498244542818	0.6698214013127767	3.476415814379484	4.804304686307434	0.7902610288505572	1.7366814226835599	3.5841856205159517	3.407724011601282	2.42512593497176	1.1744771790566326	0.8389558845977714	3.360250343459014	0.10715921233399481	0.2717142421004427	0.2984277209586323
adult_c_000001082153_1_split_00001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.093610192569539	3.80354016728263	0.009822991635868509	0.039291966543474034	7.461048434156779	68.36427737794203	0	0.0030149776308111263	0.6666504571095118	0.016241976269208324	0.012497568566426765	0.029371717564676134	0.0007294300719704337	0.03608247422680412	0.21931530830577708	0.19149970822797122	0.0005349153861116514	0	0.002917720287881735	0.0016533748297996498	0.0012643454580820851	0.0015074888154055631	0.07853530441548337	0.08286325617584128	0.14603190040848085	0.0006321727290410426	0.001167088115152694	0.009774362964403812	0.17793230888932116	0.0015561174868702586	0.1312001556117487	0	0.04746158334954289	1.2436782727095896	0.011524995137132853	0	0.010503793036374246	0	0.004862867146469559	0.0009725734292939117	0.0002917720287881735	0	0.0008753160863645205	0	0	0	0.0030149776308111263	0.048628671464695586	0.019645983271737017	0.125559229721844
