sample_id	cohort	single_align	multi_align	total_align
paired_SRR5650110	general	0.18	0.23	0.41
paired_SRR5650111	general	0.14	0.30	0.44
paired_SRR5650112	general	0.44	0.61	1.05
paired_SRR5650113	general	0.36	0.47	0.82
paired_SRR5650114	general	0.13	0.28	0.41
paired_SRR5650115	general	0.22	0.35	0.56
paired_SRR5650116	general	0.04	0.11	0.15
paired_SRR5650117	general	0.23	0.37	0.60
paired_SRR5650118	general	0.26	0.07	0.33
paired_SRR5650119	general	0.42	0.19	0.61
paired_SRR5650120	general	0.29	0.13	0.42
paired_SRR5650121	general	0.62	0.25	0.88
paired_SRR5650122	general	0.26	0.29	0.55
paired_SRR5650123	general	0.16	0.05	0.20
paired_SRR5650124	general	0.52	0.15	0.67
paired_SRR5650125	general	0.15	0.15	0.30
paired_SRR5650126	general	0.24	0.15	0.39
paired_SRR5650127	general	0.24	0.40	0.64
paired_SRR5650128	general	0.30	0.56	0.86
paired_SRR5650129	general	0.21	0.41	0.62
paired_SRR5650130	general	0.13	0.32	0.45
paired_SRR5650131	general	0.23	0.38	0.61
paired_SRR5650132	general	0.43	0.69	1.11
paired_SRR5650133	general	0.40	0.54	0.94
paired_SRR5650134	general	0.52	0.56	1.08
paired_SRR5650135	general	0.21	0.36	0.57
paired_SRR5650136	general	0.27	0.48	0.74
paired_SRR5650137	general	0.36	0.43	0.79
paired_SRR5650138	general	0.34	0.54	0.87
paired_SRR5650139	general	0.27	0.25	0.52
paired_SRR5650140	general	0.22	0.25	0.46
paired_SRR5650141	general	0.24	0.60	0.84
paired_SRR5650142	general	0.24	0.35	0.59
paired_SRR5650143	general	0.56	0.68	1.24
paired_SRR5650144	general	0.27	0.36	0.63
paired_SRR5650145	general	0.19	0.38	0.57
paired_SRR5650146	general	0.19	0.44	0.63
paired_SRR5650147	general	0.30	0.44	0.74
paired_SRR5650148	general	0.24	0.39	0.63
paired_SRR5650149	general	0.31	0.61	0.92
paired_SRR5650150	general	0.17	0.53	0.70
paired_SRR5650151	general	0.28	0.46	0.74
paired_SRR5650152	general	0.28	0.46	0.74
paired_SRR5650153	general	0.29	0.47	0.76
paired_SRR5650154	general	0.28	0.51	0.79
paired_SRR5650155	general	0.29	0.44	0.73
paired_SRR5650156	general	0.32	0.51	0.83
paired_SRR5650157	general	0.29	0.38	0.67
paired_SRR5650158	general	0.15	0.57	0.72
paired_SRR5650159	general	0.22	0.40	0.62
paired_SRR3131692	infant	0.00	1.35	1.36
paired_SRR3131694	infant	0.42	0.19	0.61
paired_SRR3131696	infant	0.03	0.05	0.08
paired_SRR3131698	infant	0.64	0.00	0.65
paired_SRR3131700	infant	0.01	0.44	0.45
paired_SRR3131702	infant	0.01	0.51	0.52
paired_SRR3131704	infant	0.11	0.77	0.88
paired_SRR3131706	infant	0.01	0.01	0.02
paired_SRR3131708	infant	0.13	0.01	0.14
paired_SRR3131710	infant	0.01	0.77	0.78
paired_SRR3131712	infant	0.01	0.00	0.01
paired_SRR3131714	infant	0.23	0.03	0.26
paired_SRR3131716	infant	0.10	0.29	0.40
paired_SRR3131718	infant	0.06	2.17	2.24
paired_SRR3131720	infant	0.00	0.01	0.01
paired_SRR3131722	infant	0.00	1.27	1.27
paired_SRR3131724	infant	0.04	0.56	0.60
paired_SRR3131726	infant	0.89	0.13	1.02
paired_SRR3131728	infant	1.76	0.36	2.13
paired_SRR3131730	infant	0.14	0.92	1.05
paired_SRR3131732	infant	0.03	0.05	0.08
paired_SRR3131734	infant	0.36	0.43	0.79
paired_SRR3131736	infant	0.02	1.35	1.37
paired_SRR3131738	infant	0.45	0.84	1.29
paired_SRR3131740	infant	0.02	0.04	0.06
paired_SRR3131742	infant	0.05	0.21	0.26
paired_SRR3131744	infant	0.14	0.40	0.54
paired_SRR3131746	infant	0.12	0.49	0.61
paired_SRR3131748	infant	0.02	0.01	0.03
paired_SRR3131750	infant	0.01	0.01	0.02
paired_SRR3131752	infant	0.11	0.53	0.64
paired_SRR3131754	infant	0.00	0.58	0.58
paired_SRR3131756	infant	0.51	0.34	0.86
paired_SRR3131758	infant	0.00	1.30	1.30
paired_SRR3131760	infant	0.07	1.19	1.26
paired_SRR3131762	infant	0.07	0.66	0.73
paired_SRR3131764	infant	0.07	0.19	0.26
paired_SRR3131766	infant	0.02	0.96	0.98
paired_SRR3131768	infant	0.16	2.29	2.44
paired_SRR3131770	infant	0.07	2.70	2.76
paired_SRR3131772	infant	0.02	0.06	0.08
paired_SRR3131774	infant	0.07	0.06	0.13
paired_SRR3131776	infant	0.19	0.54	0.73
paired_SRR3131778	infant	0.00	0.00	0.00
paired_SRR3131780	infant	0.00	1.69	1.69
paired_SRR3131782	infant	0.07	0.33	0.40
paired_SRR3131784	infant	0.00	0.00	0.00
paired_SRR3131786	infant	0.00	1.63	1.63
paired_SRR3131788	infant	0.02	0.73	0.75
paired_SRR3131790	infant	0.00	0.85	0.85
paired_SRR3131812	infant	0.29	0.04	0.33
